3,4,5
15,8,17
35,12,37
63,16,65
99,20,101
143,24,145
195,28,197
255,32,257
323,36,325
399,40,401
483,44,485
575,48,577
675,52,677
783,56,785
899,60,901
1023,64,1025
1155,68,1157
1295,72,1297
1443,76,1445
1599,80,1601
1763,84,1765
1935,88,1937
2115,92,2117
2303,96,2305
2499,100,2501
2703,104,2705
2915,108,2917
3135,112,3137
3363,116,3365
3599,120,3601
3843,124,3845
4095,128,4097
4355,132,4357
4623,136,4625
4899,140,4901
5183,144,5185
5475,148,5477
5775,152,5777
6083,156,6085
6399,160,6401
6723,164,6725
7055,168,7057
7395,172,7397
7743,176,7745
8099,180,8101
8463,184,8465
8835,188,8837
9215,192,9217
9603,196,9605
9999,200,10001
5,12,13
21,20,29
45,28,53
77,36,85
117,44,125
165,52,173
221,60,229
285,68,293
357,76,365
437,84,445
525,92,533
621,100,629
725,108,733
837,116,845
957,124,965
1085,132,1093
1221,140,1229
1365,148,1373
1517,156,1525
1677,164,1685
1845,172,1853
2021,180,2029
2205,188,2213
2397,196,2405
2597,204,2605
2805,212,2813
3021,220,3029
3245,228,3253
3477,236,3485
3717,244,3725
3965,252,3973
4221,260,4229
4485,268,4493
4757,276,4765
5037,284,5045
5325,292,5333
5621,300,5629
5925,308,5933
6237,316,6245
6557,324,6565
6885,332,6893
7221,340,7229
7565,348,7573
7917,356,7925
8277,364,8285
8645,372,8653
9021,380,9029
9405,388,9413
9797,396,9805
7,24,25
55,48,73
91,60,109
187,84,205
247,96,265
391,120,409
475,132,493
667,156,685
775,168,793
1015,192,1033
1147,204,1165
1435,228,1453
1591,240,1609
1927,264,1945
2107,276,2125
2491,300,2509
2695,312,2713
3127,336,3145
3355,348,3373
3835,372,3853
4087,384,4105
4615,408,4633
4891,420,4909
5467,444,5485
5767,456,5785
6391,480,6409
6715,492,6733
7387,516,7405
7735,528,7753
8455,552,8473
8827,564,8845
9595,588,9613
9991,600,10009
9,40,41
33,56,65
65,72,97
105,88,137
153,104,185
209,120,241
273,136,305
345,152,377
425,168,457
513,184,545
609,200,641
713,216,745
825,232,857
945,248,977
1073,264,1105
1209,280,1241
1353,296,1385
1505,312,1537
1665,328,1697
1833,344,1865
2009,360,2041
2193,376,2225
2385,392,2417
2585,408,2617
2793,424,2825
3009,440,3041
3233,456,3265
3465,472,3497
3705,488,3737
3953,504,3985
4209,520,4241
4473,536,4505
4745,552,4777
5025,568,5057
5313,584,5345
5609,600,5641
5913,616,5945
6225,632,6257
6545,648,6577
6873,664,6905
7209,680,7241
7553,696,7585
7905,712,7937
8265,728,8297
8633,744,8665
9009,760,9041
9393,776,9425
9785,792,9817
11,60,61
39,80,89
119,120,169
171,140,221
231,160,281
299,180,349
459,220,509
551,240,601
651,260,701
759,280,809
999,320,1049
1131,340,1181
1271,360,1321
1419,380,1469
1739,420,1789
1911,440,1961
2091,460,2141
2279,480,2329
2679,520,2729
2891,540,2941
3111,560,3161
3339,580,3389
3819,620,3869
4071,640,4121
4331,660,4381
4599,680,4649
5159,720,5209
5451,740,5501
5751,760,5801
6059,780,6109
6699,820,6749
7031,840,7081
7371,860,7421
7719,880,7769
8439,920,8489
8811,940,8861
9191,960,9241
9579,980,9629
13,84,85
85,132,157
133,156,205
253,204,325
325,228,397
493,276,565
589,300,661
805,348,877
925,372,997
1189,420,1261
1333,444,1405
1645,492,1717
1813,516,1885
2173,564,2245
2365,588,2437
2773,636,2845
2989,660,3061
3445,708,3517
3685,732,3757
4189,780,4261
4453,804,4525
5005,852,5077
5293,876,5365
5893,924,5965
6205,948,6277
6853,996,6925
7189,1020,7261
7885,1068,7957
8245,1092,8317
8989,1140,9061
9373,1164,9445
15,112,113
51,140,149
95,168,193
207,224,305
275,252,373
351,280,449
435,308,533
527,336,625
627,364,725
851,420,949
975,448,1073
1107,476,1205
1247,504,1345
1395,532,1493
1551,560,1649
1887,616,1985
2067,644,2165
2255,672,2353
2451,700,2549
2655,728,2753
2867,756,2965
3315,812,3413
3551,840,3649
3795,868,3893
4047,896,4145
4307,924,4405
4575,952,4673
5135,1008,5233
5427,1036,5525
5727,1064,5825
6035,1092,6133
6351,1120,6449
6675,1148,6773
7347,1204,7445
7695,1232,7793
8051,1260,8149
8415,1288,8513
8787,1316,8885
9167,1344,9265
9951,1400,10049
17,144,145
57,176,185
105,208,233
161,240,289
225,272,353
297,304,425
377,336,505
465,368,593
561,400,689
665,432,793
777,464,905
897,496,1025
1025,528,1153
1161,560,1289
1305,592,1433
1457,624,1585
1617,656,1745
1785,688,1913
1961,720,2089
2145,752,2273
2337,784,2465
2537,816,2665
2745,848,2873
2961,880,3089
3185,912,3313
3417,944,3545
3657,976,3785
3905,1008,4033
4161,1040,4289
4425,1072,4553
4697,1104,4825
4977,1136,5105
5265,1168,5393
5561,1200,5689
5865,1232,5993
6177,1264,6305
6497,1296,6625
6825,1328,6953
7161,1360,7289
7505,1392,7633
7857,1424,7985
8217,1456,8345
8585,1488,8713
8961,1520,9089
9345,1552,9473
9737,1584,9865
19,180,181
115,252,277
175,288,337
319,360,481
403,396,565
595,468,757
703,504,865
943,576,1105
1075,612,1237
1363,684,1525
1519,720,1681
1855,792,2017
2035,828,2197
2419,900,2581
2623,936,2785
3055,1008,3217
3283,1044,3445
3763,1116,3925
4015,1152,4177
4543,1224,4705
4819,1260,4981
5395,1332,5557
5695,1368,5857
6319,1440,6481
6643,1476,6805
7315,1548,7477
7663,1584,7825
8383,1656,8545
8755,1692,8917
9523,1764,9685
9919,1800,10081
21,220,221
69,260,269
189,340,389
261,380,461
341,420,541
429,460,629
629,540,829
741,580,941
861,620,1061
989,660,1189
1269,740,1469
1421,780,1621
1581,820,1781
1749,860,1949
2109,940,2309
2301,980,2501
2501,1020,2701
2709,1060,2909
3149,1140,3349
3381,1180,3581
